A-n63-k10 FA KMEANS

energy,arcs,distance,time(ms)
50709.33786430537,[[0,18,1,14,53,49,15,25,0],[0,43,38,13,26,4,30,0],[0,45,39,41,12,9,2,56,29,0],[0,34,11,47,44,32,57,28,0],[0,7,37,60,54,61,17,0],[0,33,24,62,50,20,48,36,0],[0,8,46,23,21,0],[0,19,42,3,5,59,10,52,0],[0,6,27,35,16,40,0],[0,55,22,58,51,31,0]],1559.6395082306833,17.245229721069336
51223.70867313535,[[0,42,9,2,41,1,14,53,0],[0,34,11,44,47,22,58,51,31,62,0],[0,3,49,15,25,40,56,0],[0,45,19,5,18,59,10,52,36,0],[0,27,35,60,23,0],[0,43,20,4,38,30,48,0],[0,39,12,37,16,54,61,0],[0,29,50,32,57,28,13,26,0],[0,7,33,55,24,17,0],[0,6,8,46,21,0]],1665.2284778352016,16.800139665603638
51174.63828741116,[[0,58,34,11,47,44,57,28,62,0],[0,41,1,49,15,25,40,29,56,0],[0,39,45,19,42,3,5,18,59,10,0],[0,7,32,38,4,26,13,20,0],[0,6,8,46,21,0],[0,27,35,16,54,61,0],[0,50,43,30,52,36,48,0],[0,12,9,2,14,53,0],[0,37,60,23,24,17,0],[0,33,55,22,51,31,0]],1633.6446491065724,16.84517550468445
51276.26112759812,[[0,27,60,23,61,21,0],[0,7,55,24,17,0],[0,41,1,39,45,18,49,15,25,40,29,56,0],[0,34,11,44,47,22,58,51,31,62,0],[0,6,35,8,37,16,0],[0,12,9,2,14,53,0],[0,43,42,3,19,10,59,52,0],[0,50,28,38,4,30,36,48,0],[0,5,32,57,13,26,20,0],[0,33,46,54,0]],1658.1782270187127,17.483049392700195
50685.67913038232,[[0,45,39,41,1,14,53,49,15,25,40,0],[0,27,35,37,16,54,0],[0,55,22,58,51,31,0],[0,19,42,3,5,18,59,10,0],[0,8,46,23,0],[0,6,12,9,2,56,0],[0,34,11,47,44,32,57,28,0],[0,43,38,13,26,4,30,0],[0,33,60,61,21,7,17,0],[0,29,24,62,50,20,52,36,48,0]],1573.6782538539703,16.832315683364868
49831.8368512444,[[0,42,3,5,18,49,15,25,40,0],[0,41,12,9,2,14,53,0],[0,34,32,57,28,13,20,0],[0,44,47,22,58,51,31,62,0],[0,33,55,24,17,0],[0,29,43,26,4,38,30,48,0],[0,27,37,60,61,21,0],[0,6,35,8,16,56,0],[0,1,39,45,19,10,59,52,36,0],[0,50,11,54,46,23,7,0]],1653.3658837595858,17.56029987335205
51334.248192226354,[[0,8,6,12,9,2,0],[0,51,58,23,61,56,29,40,0],[0,42,60,46,21,0],[0,19,41,1,14,53,49,15,25,0],[0,45,39,3,5,18,59,10,52,0],[0,34,11,47,44,32,57,28,20,0],[0,27,35,37,16,54,0],[0,43,38,4,30,36,48,0],[0,22,31,62,50,13,26,0],[0,7,33,55,24,17,0]],1607.9006743109685,19.11979866027832
52058.45175354897,[[0,34,44,47,22,58,51,31,0],[0,39,2,14,53,49,15,25,0],[0,6,27,35,8,16,0],[0,19,42,3,5,18,59,10,0],[0,33,55,24,62,50,20,36,0],[0,45,41,1,40,29,56,17,48,0],[0,9,12,37,23,61,21,0],[0,11,32,57,28,13,26,0],[0,43,38,4,30,52,0],[0,54,60,46,7,0]],1576.1457952080311,15.774510145187378
50929.200887936255,[[0,5,37,60,54,61,0],[0,12,9,2,41,1,14,40,0],[0,34,11,47,44,32,57,28,50,62,0],[0,19,39,45,53,49,15,25,29,56,0],[0,6,27,35,8,16,0],[0,42,3,18,59,10,52,0],[0,43,38,4,30,36,48,0],[0,33,55,31,17,0],[0,7,22,58,51,13,26,20,0],[0,24,46,23,21,0]],1530.4494644670337,17.92515540122986
50588.06169057461,[[0,41,12,9,2,14,53,0],[0,34,11,44,47,22,58,51,31,0],[0,43,18,49,15,25,40,29,56,0],[0,50,62,32,57,13,26,20,0],[0,7,28,38,4,30,36,48,0],[0,19,42,3,5,59,10,52,0],[0,8,37,60,61,0],[0,6,27,35,16,54,0],[0,33,55,24,17,0],[0,45,39,1,46,23,21,0]],1577.7050413102947,17.223235368728638
