A-n63-k10 FA KMEDOIDS

energy,arcs,distance,time(ms)
50246.82010302864,[[0,34,11,47,22,58,51,31,62,0],[0,7,60,37,16,54,61,29,40,0],[0,6,27,35,8,56,0],[0,19,42,3,5,18,49,15,25,0],[0,43,59,10,52,36,48,0],[0,50,32,38,4,30,0],[0,33,55,24,17,0],[0,44,57,28,13,26,20,0],[0,41,12,9,2,14,53,0],[0,45,39,1,46,23,21,0]],1508.7052874985982,33.9516019821167
50544.00557443736,[[0,12,9,2,41,1,14,40,0],[0,43,38,13,26,4,30,0],[0,0,55,22,58,51,31,62,0],[0,45,39,3,53,49,15,25,0],[0,50,37,60,54,61,56,29,0],[0,42,19,5,18,59,10,52,36,0],[0,7,46,23,21,0],[0,6,27,35,8,16,0],[0,34,11,47,44,32,57,28,20,0],[0,33,24,17,48,0]],1533.3648164635879,36.187217473983765
50693.83219605271,[[0,34,44,47,22,58,51,31,0],[0,41,1,39,5,18,49,15,25,0],[0,12,9,2,14,53,0],[0,7,21,46,61,29,40,0],[0,11,32,57,28,13,26,0],[0,33,55,23,24,62,50,20,0],[0,27,35,8,37,16,0],[0,43,38,4,30,36,48,0],[0,45,42,3,19,10,59,52,0],[0,6,60,54,56,17,0]],1568.3170470211758,34.769957065582275
51217.40879731258,[[0,19,42,3,5,18,15,25,0],[0,39,45,14,53,40,29,56,17,0],[0,6,12,9,2,41,1,49,0],[0,33,55,60,54,61,0],[0,34,11,22,58,51,31,62,0],[0,7,24,46,23,21,0],[0,50,28,26,4,38,30,0],[0,43,59,10,52,36,48,0],[0,27,35,8,37,16,0],[0,47,44,32,57,13,20,0]],1478.0694842426467,38.46835780143738
49926.290287010655,[[0,41,12,9,2,14,53,0],[0,7,60,37,16,54,61,29,40,0],[0,43,38,13,26,4,30,0],[0,45,39,3,5,18,49,15,25,0],[0,22,58,51,31,62,50,20,48,0],[0,33,55,24,17,0],[0,42,19,59,10,52,36,0],[0,0,6,27,35,8,56,0],[0,1,46,23,21,0],[0,34,11,47,44,32,57,28,0]],1509.181355921361,35.94829511642456
49865.26744647209,[[0,39,42,3,5,18,49,15,25,0],[0,34,11,47,44,32,57,28,0],[0,7,22,58,51,31,62,50,20,48,0],[0,41,12,9,2,14,53,0],[0,27,35,37,16,54,0],[0,8,60,61,21,56,29,40,0],[0,33,55,24,17,0],[0,43,38,13,26,4,30,0],[0,6,46,23,0],[0,1,45,19,10,59,52,36,0]],1611.2833071752843,36.82120180130005
50662.63136789774,[[0,44,47,22,58,51,31,62,0],[0,6,27,35,16,40,0],[0,11,34,32,57,28,20,48,0],[0,12,9,2,41,49,15,25,0],[0,45,39,1,14,53,52,36,0],[0,33,55,23,7,17,0],[0,8,37,60,54,56,29,0],[0,19,42,3,5,18,59,10,0],[0,43,38,13,26,4,30,0],[0,50,24,46,61,21,0]],1529.7493829592916,36.15078854560852
50916.51779157559,[[0,33,23,61,21,56,29,40,0],[0,34,11,47,44,32,57,28,20,0],[0,43,38,13,26,4,30,0],[0,7,22,58,51,31,50,62,17,0],[0,6,27,35,8,16,0],[0,41,2,14,53,49,15,25,0],[0,42,3,19,10,59,0],[0,1,39,45,5,18,52,36,48,0],[0,55,46,24,0],[0,9,12,37,60,54,0]],1570.119511941809,36.3651020526886
49556.66918398772,[[0,34,11,47,22,58,51,31,62,0],[0,19,42,3,5,18,15,25,0],[0,43,26,4,38,30,48,0],[0,6,27,35,8,16,0],[0,41,12,9,2,14,53,0],[0,39,45,46,23,61,0],[0,33,55,24,17,0],[0,1,49,59,10,52,36,0],[0,50,44,32,57,28,13,20,0],[0,7,21,60,37,54,56,29,40,0]],1523.5098197766297,35.33399748802185
51370.728192899456,[[0,45,39,1,49,15,25,40,29,56,0],[0,19,42,3,5,18,59,10,0],[0,41,12,9,2,14,53,0],[0,33,55,51,13,26,0],[0,43,38,4,30,52,0],[0,27,35,8,37,16,0],[0,32,57,28,20,48,36,0],[0,50,34,11,44,47,22,58,31,62,0],[0,6,46,61,0],[0,7,21,54,60,23,24,17,0]],1523.8474236192658,36.014469623565674
