CMT6 FA KMEANS

energy,arcs,distance,time(ms)
49556.70631996551,[[0,22,31,28,3,36,35,20,29,2,1,27,0],[0,16,21,34,50,9,49,5,38,11,32,46,0],[0,10,30,39,33,45,15,37,17,4,47,12,0],[0,40,19,41,13,25,14,18,0],[0,44,42,24,43,23,7,26,8,48,6,0]],611.4763589046971,16.34410524368286
48855.56603669112,[[0,29,21,16,50,34,30,10,49,9,38,5,46,0],[0,33,45,15,37,17,4,18,47,12,0],[0,39,44,42,40,19,41,13,25,14,0],[0,1,22,28,3,36,35,20,2,11,32,0],[0,31,8,26,7,43,24,23,48,6,27,0]],602.5185800069072,16.994786262512207
48570.39050528734,[[0,0,17,4,13,25,14,18,47,0],[0,1,31,8,26,7,43,24,23,48,6,27,0],[0,10,39,30,34,50,9,49,5,38,11,0],[0,22,28,3,36,35,20,29,21,16,2,32,0],[0,40,41,19,42,44,45,33,15,37,12,46,0]],580.9158661855225,16.717020511627197
48490.07096080911,[[0,10,9,50,34,21,29,2,16,38,11,32,0],[0,4,17,37,44,15,45,33,39,30,49,5,46,0],[0,1,22,36,35,20,3,28,31,26,8,48,0],[0,24,43,7,23,18,47,12,0],[0,42,40,19,41,13,25,14,6,27,0]],579.8533397502964,14.902774810791016
49238.85877419457,[[0,1,22,3,36,35,20,29,21,16,2,32,46,0],[0,24,43,23,7,26,31,28,8,48,27,0],[0,40,17,37,33,45,15,44,42,19,41,13,4,0],[0,10,39,30,34,50,9,49,5,38,11,0],[0,6,14,25,18,47,12,0]],589.8965783035022,15.525084495544434
50351.84018091552,[[0,10,39,30,34,50,9,49,5,38,11,0],[0,1,22,3,36,35,20,29,21,16,2,32,0],[0,6,23,24,14,25,18,47,0],[0,40,17,37,33,45,15,44,42,19,41,13,4,0],[0,43,7,26,31,28,8,48,27,46,12,0]],611.4012088540414,15.711788654327393
50709.957343576614,[[0,4,17,37,44,15,45,33,49,5,38,11,46,0],[0,10,39,30,34,50,21,29,16,2,1,32,0],[0,22,36,35,20,3,28,31,8,48,27,0],[0,42,40,19,41,13,18,14,6,0],[0,9,26,43,7,23,24,25,47,12,0]],633.4644129549654,16.03696370124817
49040.69154057768,[[0,33,45,15,37,17,4,18,47,12,0],[0,9,44,42,40,19,41,13,25,14,0],[0,24,43,26,31,28,8,7,23,48,6,27,0],[0,29,21,49,10,39,30,34,50,16,38,5,0],[0,1,22,3,36,35,20,2,11,32,46,0]],616.8337812373427,15.469037294387817
48828.0948312252,[[0,1,22,3,28,31,8,26,7,23,48,27,0],[0,10,39,30,34,9,49,38,5,12,0],[0,40,17,37,33,45,15,44,42,19,41,13,4,0],[0,36,35,20,29,21,50,16,2,11,32,0],[0,6,43,24,14,25,18,47,46,0]],610.8425274174188,16.176832914352417
48338.201809865895,[[0,1,22,2,16,50,9,49,5,38,11,46,0],[0,34,30,39,33,45,15,44,37,12,0],[0,32,26,43,7,23,24,25,14,6,27,0],[0,10,21,29,36,35,20,3,28,31,8,48,0],[0,4,17,42,40,19,41,13,18,47,0]],598.7250149651649,16.563175678253174
