CMT13 FA KMEDOIDS

energy,arcs,distance,time(ms)
129716.34853844118,[[0,21,29,32,28,35,36,34,31,30,33,27,24,22,25,23,26,20,19,16,17,108,118,0],[0,40,43,45,48,51,50,49,47,46,44,42,41,37,38,39,0],[0,68,79,80,78,77,76,73,71,74,72,75,70,69,67,105,0],[0,106,107,104,103,100,116,98,110,115,97,94,96,93,90,92,89,85,86,111,88,0],[0,53,55,56,58,60,63,66,64,62,61,65,59,57,54,52,0],[0,91,6,7,9,8,12,13,14,15,11,10,5,4,3,1,2,0],[0,120,119,82,81,109,114,18,83,113,117,84,112,87,95,99,101,102,0]],1092.704605731725,107.78883457183838
129915.89202268605,[[0,2,1,3,4,5,6,7,9,10,11,15,14,13,12,8,118,0],[0,40,48,50,51,45,43,42,47,49,46,44,41,37,38,39,0],[0,120,105,106,107,104,100,99,101,102,96,94,90,91,92,89,85,86,111,87,0],[0,53,55,56,58,60,63,66,64,62,61,65,59,57,54,52,0],[0,29,36,34,35,32,21,20,25,22,24,27,33,30,31,28,26,23,19,16,17,93,95,0],[0,97,116,98,110,115,109,108,114,18,83,113,117,84,112,81,119,82,88,0],[0,68,79,80,78,77,76,73,71,74,75,72,70,69,67,103,0]],1099.8293073305633,97.70911812782288
129965.38011126773,[[0,57,51,50,49,47,46,44,41,37,38,39,42,48,45,43,40,0],[0,2,1,3,4,8,12,13,14,15,11,10,9,7,6,5,0],[0,118,109,115,110,116,100,99,101,96,93,94,97,114,18,90,91,89,92,0],[0,68,76,73,78,80,79,77,75,72,74,71,70,69,67,103,0],[0,29,26,21,20,23,28,32,35,36,34,31,30,33,27,24,22,25,19,16,17,108,0],[0,59,65,61,62,64,66,63,60,56,58,55,53,54,52,98,0],[0,120,119,88,82,81,117,83,113,84,112,85,86,111,87,95,102,104,107,106,105,0]],1131.7285870653564,101.45334148406982
129292.59590529781,[[0,29,32,35,36,34,33,30,27,31,28,25,24,22,19,16,17,20,23,26,21,108,118,0],[0,76,79,56,60,63,66,64,62,57,59,65,61,58,55,53,54,52,0],[0,45,47,44,46,49,50,51,48,42,41,37,38,39,43,40,110,0],[0,6,7,9,8,12,13,14,15,11,10,5,4,3,1,2,88,0],[0,81,83,113,117,84,112,85,87,95,96,93,94,97,100,99,101,102,106,105,0],[0,68,80,78,77,73,71,74,75,72,70,69,67,103,104,0],[0,120,107,116,98,115,109,114,18,90,91,89,92,86,111,82,119,0]],1108.1602228600157,108.03175401687622
131156.91628339386,[[0,0,119,120,107,104,103,99,100,116,98,110,115,97,94,93,90,91,89,92,0],[0,21,20,29,36,34,35,32,25,22,24,27,33,30,31,28,26,23,19,16,17,118,86,0],[0,6,7,9,8,12,13,14,15,11,10,5,4,3,1,2,88,0],[0,56,60,63,66,64,62,61,65,59,57,54,58,55,53,52,0],[0,81,40,43,45,48,51,50,49,47,46,44,41,42,39,38,37,0],[0,95,102,105,106,101,96,109,108,114,18,83,113,117,84,112,85,87,111,82,0],[0,68,76,73,78,80,79,77,72,75,74,71,70,69,67,0]],1108.3025937919836,105.58796262741089
130522.41597819413,[[0,110,68,76,73,78,80,79,77,72,75,74,71,70,69,67,107,0],[0,44,29,32,28,35,36,34,31,30,33,27,24,22,25,19,16,17,20,23,26,21,0],[0,40,43,45,48,51,50,49,46,47,41,42,39,38,37,97,0],[0,8,12,13,14,15,11,10,9,7,6,5,4,3,1,2,88,0],[0,56,60,63,66,64,62,61,65,59,57,54,58,55,53,52,100,0],[0,94,108,118,86,111,82,119,81,117,83,113,84,112,85,89,92,87,0],[0,120,103,116,98,115,109,114,18,90,91,93,96,95,102,101,99,104,106,105,0]],1131.7304402661193,101.13371133804321
128967.66653767513,[[0,73,76,68,79,80,78,77,75,72,74,71,70,69,67,98,0],[0,105,106,107,103,104,102,101,99,100,116,110,115,97,94,96,93,90,91,89,92,0],[0,29,32,35,36,34,33,30,27,31,28,26,21,20,23,25,24,22,19,16,17,109,0],[0,40,43,45,48,51,50,49,47,46,44,42,41,37,38,39,0],[0,120,119,81,95,114,18,118,108,83,113,117,84,112,85,87,86,111,82,88,0],[0,8,12,13,14,15,11,10,9,7,6,5,4,3,1,2,0],[0,56,60,63,66,64,62,61,65,59,57,54,58,55,53,52,0]],1090.4779679210642,105.42142105102539
129208.65403300071,[[0,8,12,13,14,15,11,10,9,7,6,5,4,3,1,2,0],[0,18,83,113,117,84,112,81,119,82,111,86,85,90,91,89,92,87,88,0],[0,73,76,68,79,80,78,77,75,72,74,71,70,69,67,105,0],[0,29,49,50,51,48,45,40,43,42,47,46,44,41,37,38,39,0],[0,57,59,65,61,62,64,66,63,60,56,58,55,53,54,52,104,0],[0,21,20,23,26,28,32,35,36,34,31,30,33,27,24,22,25,19,16,17,108,114,0],[0,120,118,109,115,110,98,116,103,107,106,102,101,99,100,97,94,93,96,95,0]],1127.1072544708425,105.80253624916077
130373.57755785485,[[0,56,60,63,66,64,62,61,65,59,57,54,58,55,53,52,100,0],[0,2,1,7,9,8,12,13,14,15,11,10,4,3,5,6,0],[0,79,80,76,73,67,69,70,71,74,72,75,78,77,68,98,0],[0,29,36,34,35,32,28,31,33,30,27,24,22,25,19,16,17,20,23,26,21,109,0],[0,40,43,45,48,51,50,49,47,46,44,41,42,39,38,37,110,0],[0,120,105,106,104,103,99,101,102,95,89,84,113,83,117,112,85,86,87,0],[0,81,88,107,116,115,97,114,108,118,18,90,91,94,96,93,92,111,82,119,0]],1125.6340882484499,105.2648286819458
129717.23454645029,[[0,21,20,29,28,31,27,30,33,34,36,35,32,26,23,25,24,22,19,16,17,108,118,0],[0,81,95,105,106,102,101,99,100,116,98,110,115,97,94,96,93,90,91,87,0],[0,73,76,68,79,80,78,77,72,75,74,71,70,69,67,104,107,0],[0,57,45,48,51,50,49,47,46,44,41,37,38,39,42,43,40,0],[0,2,1,7,9,8,12,13,14,15,11,10,4,3,5,6,88,0],[0,53,55,56,58,60,63,66,64,62,61,65,59,54,52,103,0],[0,120,109,114,18,83,113,117,84,112,85,89,92,86,111,82,119,0]],1139.4395086984416,106.87069654464722
