CMT11 FA KMEANS

energy,arcs,distance,time(ms)
130856.61981590139,[[0,6,7,9,5,2,1,3,4,10,11,15,14,13,12,8,91,0],[0,29,40,43,45,48,51,50,49,47,46,44,41,42,39,38,37,0],[0,80,79,68,73,76,77,78,72,75,74,71,70,69,67,107,0],[0,21,20,23,26,28,32,35,36,34,31,30,33,27,24,22,25,19,16,17,109,108,0],[0,120,90,114,18,118,83,113,117,84,112,85,89,92,87,86,111,82,88,0],[0,56,60,63,66,64,62,61,65,59,57,54,58,55,53,52,93,0],[0,119,81,116,98,110,115,97,94,96,101,99,100,103,104,106,105,102,95,0]],1133.900654025119,104.41678714752197
130326.90389842569,[[0,29,44,47,46,49,50,51,48,45,43,40,39,42,41,38,37,0],[0,79,56,57,59,65,61,62,64,66,63,60,58,55,53,54,52,0],[0,8,12,13,14,15,11,10,9,7,6,5,4,3,1,2,0],[0,21,28,32,35,36,34,31,33,30,27,24,22,25,23,26,20,19,16,17,84,112,111,0],[0,106,100,116,103,104,99,101,102,95,96,93,94,97,91,89,92,87,86,88,0],[0,68,73,76,77,80,78,72,75,74,71,70,69,67,107,105,0],[0,120,98,110,115,109,108,118,18,114,90,85,113,83,117,81,119,82,0]],1128.306110269003,98.7355809211731
128979.83977843306,[[0,29,32,28,35,36,34,31,33,30,27,24,22,25,19,16,17,20,23,26,21,108,118,0],[0,73,76,68,79,80,78,77,75,72,74,71,70,69,67,103,0],[0,81,119,120,107,104,94,114,18,83,113,117,84,112,85,87,86,111,82,88,0],[0,53,55,56,58,60,63,66,64,62,61,65,59,57,54,52,105,0],[0,40,47,44,46,49,50,51,48,45,43,42,41,37,38,39,0],[0,2,1,3,4,8,12,13,14,15,11,10,9,7,6,5,0],[0,106,97,109,115,110,98,116,100,99,101,102,96,93,90,91,89,92,95,0]],1113.0891025068963,102.9985933303833
128771.307865777,[[0,6,7,9,8,12,13,14,15,11,10,5,4,3,1,2,88,0],[0,40,43,45,48,51,50,49,47,46,44,41,42,39,38,37,0],[0,73,76,68,79,80,78,77,72,75,74,71,70,69,67,98,0],[0,29,32,35,36,34,33,20,17,16,19,25,22,24,27,30,31,28,23,26,21,109,0],[0,85,112,84,117,113,83,108,118,18,114,90,91,89,92,87,86,111,82,0],[0,57,59,65,61,62,64,66,63,60,56,58,55,53,54,52,106,0],[0,81,119,120,105,107,103,104,96,93,94,97,115,110,116,100,99,101,102,95,0]],1086.342275641832,99.56096172332764
129301.59896920637,[[0,68,73,76,77,79,80,78,75,72,74,71,70,69,67,101,0],[0,120,119,81,112,84,117,113,83,108,118,114,90,89,92,86,111,82,88,0],[0,8,12,13,14,15,11,10,9,7,6,5,4,3,1,2,0],[0,29,44,47,46,49,50,51,48,39,38,37,41,42,45,43,40,0],[0,53,55,56,58,60,63,66,64,62,61,65,59,57,54,52,0],[0,21,20,28,32,35,36,34,31,33,30,27,24,22,25,26,23,19,16,17,109,18,0],[0,85,91,116,98,110,115,97,94,93,96,99,100,103,104,107,106,105,102,95,87,0]],1105.0560826363278,104.71183490753174
130889.19370865524,[[0,0,105,106,107,104,101,99,100,116,98,110,115,97,109,108,118,18,114,90,91,85,88,0],[0,39,29,26,21,20,23,28,32,35,36,34,31,30,33,27,24,22,25,19,16,17,0],[0,49,50,51,42,38,37,41,44,46,47,48,45,43,40,94,102,0],[0,68,73,76,77,79,80,78,72,75,74,71,70,69,67,103,0],[0,57,59,65,61,62,64,66,63,60,56,58,55,53,54,52,0],[0,6,7,9,8,12,13,14,15,11,10,5,4,3,1,2,0],[0,120,119,81,112,117,83,113,84,89,92,93,96,95,87,86,111,82,0]],1113.8300282335504,104.79564213752747
128324.96220147364,[[0,119,81,117,83,113,84,112,85,90,91,89,92,87,86,111,82,88,0],[0,8,12,13,14,15,11,10,9,7,6,5,4,3,1,2,0],[0,68,79,80,78,77,76,73,71,74,75,72,70,69,67,103,0],[0,29,49,50,51,42,39,38,37,41,44,46,47,48,45,43,40,0],[0,21,20,23,26,28,32,35,36,34,31,30,33,27,24,22,25,19,16,17,99,101,0],[0,53,55,56,58,60,63,66,64,62,61,65,59,57,54,52,105,0],[0,120,106,107,104,100,116,98,110,115,109,108,118,18,114,97,94,93,96,95,102,0]],1091.9565495760244,105.66320419311523
131372.63830714926,[[0,8,12,13,14,15,11,5,6,7,9,10,4,3,1,2,0],[0,78,59,57,56,60,63,66,64,62,65,61,58,55,53,54,52,0],[0,80,79,68,73,76,77,72,75,74,71,70,69,67,100,99,0],[0,28,32,35,36,34,31,33,30,27,24,22,25,19,16,17,20,23,26,21,109,0],[0,119,112,84,117,113,83,108,118,18,114,90,92,89,85,86,111,82,88,0],[0,29,42,40,43,45,48,51,50,49,47,46,44,41,37,38,39,0],[0,120,81,91,101,102,105,106,107,104,103,116,98,110,115,97,94,93,96,95,87,0]],1155.0639227292968,101.27331733703613
129359.80835897772,[[0,40,43,45,48,51,50,49,47,46,44,41,42,39,38,37,101,0],[0,117,83,113,84,112,85,92,93,94,96,99,100,116,103,104,107,106,105,102,95,0],[0,118,8,12,13,14,15,11,10,9,7,6,5,4,3,1,2,0],[0,29,32,28,35,36,34,31,33,30,27,24,22,25,19,16,17,20,23,26,21,90,0],[0,68,79,80,78,77,76,73,71,74,75,72,70,69,67,98,0],[0,53,55,56,58,60,63,66,64,62,61,65,59,57,54,52,110,0],[0,120,119,81,18,114,108,109,115,97,91,89,87,86,111,82,88,0]],1082.9580971909672,109.04750180244446
130312.45506631184,[[0,85,112,84,117,113,83,118,18,114,90,91,89,92,87,86,111,82,88,0],[0,29,40,43,45,47,44,46,49,50,51,48,42,39,38,41,37,0],[0,68,73,76,77,79,80,78,72,75,74,71,70,69,67,102,0],[0,56,60,63,66,64,62,61,65,59,57,54,58,55,53,52,110,0],[0,21,20,23,26,28,32,35,36,34,31,30,33,27,24,22,25,19,16,17,109,108,0],[0,6,7,9,8,12,13,14,15,11,10,5,4,3,1,2,0],[0,120,119,81,95,96,93,94,97,115,98,116,100,103,107,104,99,101,106,105,0]],1110.4005523196738,107.15557551383972
