A-n53-k7 FA KMEANS

energy,arcs,distance,time(ms)
39649.60587748995,[[0,15,32,16,12,7,17,9,47,0],[0,49,18,38,35,6,20,31,0],[0,39,41,24,11,13,34,21,25,0],[0,36,50,23,42,48,45,22,28,4,1,0],[0,44,29,10,26,40,8,27,0],[0,19,43,2,37,30,46,51,0],[0,52,14,5,3,33,0]],1242.6854411338604,11.043398380279541
41534.884689888364,[[0,7,16,11,41,17,9,47,0],[0,15,43,42,48,12,22,28,1,0],[0,4,44,49,29,10,26,40,18,38,31,0],[0,25,24,52,13,14,5,3,0],[0,50,36,2,37,30,46,8,51,0],[0,19,23,45,27,35,6,20,0],[0,32,34,21,39,33,0]],1383.1820828201955,11.705015420913696
40425.396154334994,[[0,39,41,24,14,5,3,33,0],[0,19,29,10,26,40,18,38,27,0],[0,11,52,13,34,21,25,0],[0,23,43,42,48,45,28,1,0],[0,49,4,22,30,51,35,6,20,31,0],[0,32,16,12,7,17,9,47,0],[0,15,50,36,2,37,44,46,8,0]],1410.1675055542626,11.403536319732666
40942.76341568057,[[0,7,29,10,26,40,18,38,31,0],[0,50,43,42,48,12,22,28,4,1,0],[0,25,52,24,11,41,17,9,47,0],[0,39,13,21,14,5,3,0],[0,34,6,20,33,0],[0,15,32,16,45,2,37,46,0],[0,19,23,36,49,44,30,35,8,27,51,0]],1332.5463602310745,11.17219614982605
40630.75559072984,[[0,44,49,29,10,6,20,33,0],[0,2,37,30,46,8,31,0],[0,15,32,23,43,42,48,22,28,1,0],[0,36,50,16,45,12,7,17,47,0],[0,4,39,52,13,14,5,3,0],[0,19,9,41,11,24,34,21,25,0],[0,26,40,18,38,35,27,51,0]],1342.0028047217477,10.803090810775757
40218.024907278195,[[0,50,36,40,44,30,46,8,27,51,0],[0,7,52,24,11,17,9,47,0],[0,32,16,45,2,37,22,28,4,1,0],[0,15,19,23,43,42,48,12,0],[0,13,34,21,14,5,0],[0,49,29,10,26,18,38,35,0],[0,41,25,39,3,33,6,20,31,0]],1270.4716430395401,11.052112340927124
41120.817778350865,[[0,39,2,50,23,42,48,45,22,28,4,0],[0,49,29,10,26,40,18,35,31,0],[0,44,36,37,30,46,8,27,0],[0,15,19,43,12,7,17,9,47,0],[0,32,16,11,14,5,3,0],[0,1,51,38,6,20,33,0],[0,41,24,52,13,34,21,25,0]],1256.0402202634086,10.292644500732422
40413.705050257464,[[0,39,13,52,24,11,41,17,0,0],[0,49,29,10,26,40,38,35,0],[0,50,36,2,44,46,8,27,31,0],[0,19,43,42,48,45,22,28,4,1,0],[0,15,23,32,16,12,7,9,47,0],[0,18,25,34,21,14,5,3,0],[0,37,30,51,6,20,33,0]],1312.3406566159144,11.058429479598999
40865.37226220147,[[0,0,25,39,3,33,6,20,31,0],[0,50,36,30,29,10,40,18,38,35,0],[0,24,52,13,34,21,5,0],[0,32,16,45,2,37,22,28,4,1,0],[0,15,19,23,43,42,48,12,7,0],[0,14,11,41,17,9,47,0],[0,44,49,26,46,8,27,51,0]],1220.8543134469962,11.876003742218018
41377.3366337651,[[0,50,16,42,43,2,37,0],[0,15,19,23,32,48,45,12,7,9,47,0],[0,36,44,18,38,35,8,27,0],[0,30,49,29,10,26,40,46,51,0],[0,39,13,52,24,11,17,0],[0,22,28,4,1,31,6,20,33,0],[0,25,41,34,21,14,5,3,0]],1228.3573228024009,11.86407732963562
