CMT3 FA KMEDOIDS

energy,arcs,distance,time(ms)
94488.91690450565,[[0,60,8,46,36,49,64,11,62,19,47,48,82,52,0],[0,15,43,14,44,16,61,85,93,59,99,96,6,0],[0,42,91,38,86,17,45,83,84,5,98,100,37,92,94,0],[0,9,71,65,35,34,78,79,3,77,68,12,28,0],[0,57,2,4,39,56,75,22,74,72,73,21,40,58,53,0],[0,41,23,67,25,55,54,24,29,81,33,50,0],[0,1,70,30,51,20,66,32,90,63,10,31,69,27,0],[0,26,80,76,88,7,18,89,95,97,87,13,0]],984.966270993111,83.05999994277954
90008.64900705848,[[0,18,83,8,45,17,91,100,37,98,85,93,59,6,89,0],[0,2,57,15,43,42,87,97,95,99,96,94,13,58,0],[0,41,23,39,56,75,22,74,72,73,21,40,53,0],[0,50,78,34,35,65,71,9,51,81,33,79,77,76,0],[0,63,64,49,36,47,48,82,7,88,31,52,0],[0,92,38,14,44,86,16,61,84,5,60,0],[0,46,19,11,62,10,90,32,66,20,30,70,1,69,27,0],[0,55,25,67,4,54,24,29,3,68,80,12,26,28,0]],939.2428334694947,78.57758903503418
91909.70332779607,[[0,18,8,83,60,5,84,61,85,93,99,96,94,0],[0,78,34,35,71,9,51,81,33,79,3,77,76,28,0],[0,46,45,17,91,42,14,38,44,86,16,98,92,95,13,0],[0,88,7,19,11,64,49,36,47,48,82,52,0],[0,29,24,25,67,39,23,56,72,73,21,40,58,53,0],[0,63,90,70,1,50,55,4,54,80,68,12,26,0],[0,2,57,74,75,22,41,15,43,100,37,87,97,59,6,89,0],[0,65,66,20,30,32,10,62,31,69,27,0]],1009.1168056515329,81.82671427726746
95371.08407391897,[[0,6,2,100,91,86,16,61,85,98,37,92,97,13,0],[0,57,15,43,38,44,14,42,87,58,40,53,0],[0,69,1,70,30,32,90,10,62,11,19,48,7,52,89,0],[0,50,35,71,66,20,51,9,81,33,79,3,77,76,0],[0,65,34,78,29,24,55,25,4,54,80,68,12,26,0],[0,64,49,47,18,96,99,93,59,95,94,0],[0,63,36,46,45,17,84,5,60,83,8,82,88,31,27,28,0],[0,41,23,67,39,56,75,22,74,72,73,21,0]],1028.7944528886505,81.67979645729065
95846.40886784716,[[0,92,91,38,14,44,86,16,85,93,99,96,6,0],[0,40,4,67,39,25,55,54,24,29,68,80,12,26,0],[0,71,65,35,34,78,79,3,77,33,81,9,51,50,76,0],[0,18,60,100,37,98,59,97,87,13,58,53,0],[0,90,64,11,19,49,36,47,48,7,88,31,0],[0,20,66,32,63,62,10,30,70,1,69,27,28,0],[0,52,2,57,42,43,15,41,23,56,75,22,74,72,73,21,0],[0,17,46,82,8,45,83,84,5,61,95,94,89,0]],1002.1533731783832,83.5363245010376
96643.65293384904,[[0,60,83,46,45,17,84,5,98,100,91,85,93,59,96,6,0],[0,51,35,71,9,81,33,79,3,77,68,80,12,0],[0,2,41,56,55,25,67,39,23,75,22,74,72,73,21,0],[0,57,15,43,42,87,97,13,27,69,1,50,76,28,0],[0,65,66,20,30,70,62,48,82,7,88,31,0],[0,52,64,63,90,32,10,11,19,49,36,47,8,18,89,0],[0,92,37,38,14,44,86,16,61,99,95,94,0],[0,78,34,29,24,54,4,26,40,58,53,0]],1010.870341133984,82.1713182926178
92637.86094786436,[[0,6,92,42,38,91,100,37,98,85,93,59,96,94,0],[0,2,57,15,43,14,44,86,16,61,17,45,83,89,0],[0,46,36,49,64,11,63,90,32,10,30,28,0],[0,78,70,52,18,60,84,5,99,95,97,87,13,58,53,0],[0,20,51,34,35,65,66,71,9,81,33,50,1,0],[0,41,23,67,39,56,75,22,74,72,73,21,40,0],[0,4,25,55,54,24,29,79,3,77,76,68,80,12,26,0],[0,7,8,82,48,47,19,62,88,31,69,27,0]],986.9065822847634,81.45479607582092
98838.96273125705,[[0,6,57,100,61,85,93,98,37,92,59,99,96,94,0],[0,60,83,8,46,45,17,84,5,91,44,14,42,87,97,95,13,0],[0,1,51,9,71,65,35,34,78,3,77,68,80,12,28,0],[0,19,11,64,49,36,47,48,82,7,88,31,69,0],[0,70,30,20,66,32,90,63,10,62,52,18,89,27,0],[0,29,24,4,23,75,22,74,72,73,21,40,58,0],[0,16,86,38,43,15,2,76,79,81,33,50,0],[0,41,56,67,39,25,55,54,26,53,0]],987.7943243533898,78.55628085136414
92263.31068461231,[[0,1,70,30,19,49,36,47,48,7,88,31,69,0],[0,46,64,11,63,90,20,66,32,10,62,82,8,83,89,0],[0,15,43,38,14,44,5,18,52,27,0],[0,29,24,55,25,67,23,75,74,72,73,21,40,58,53,0],[0,50,78,34,35,65,71,9,51,81,33,79,3,77,76,0],[0,2,57,42,91,100,37,98,59,92,87,97,95,94,13,0],[0,41,22,56,39,4,54,80,68,12,26,28,0],[0,60,84,45,17,86,16,61,85,93,99,96,6,0]],979.500509506253,81.55593657493591
90697.0746299258,[[0,18,8,46,45,17,61,16,91,85,93,59,96,6,89,0],[0,55,25,67,39,23,56,75,74,72,73,21,26,0],[0,40,4,54,24,29,79,3,77,68,80,12,0],[0,22,41,15,42,43,38,86,44,14,100,98,37,87,0],[0,88,7,19,64,49,36,47,48,82,52,0],[0,78,34,35,51,20,66,65,71,9,81,33,76,28,0],[0,2,57,60,83,84,5,99,92,97,95,94,13,58,53,0],[0,50,1,70,30,32,90,63,11,62,10,31,69,27,0]],937.5254372630237,81.11480355262756
