CMT1 FA KMEANS

energy,arcs,distance,time(ms)
47285.573003935926,[[0,26,43,7,23,24,25,14,6,48,27,0],[0,17,37,44,15,45,33,39,10,49,5,12,0],[0,21,29,36,35,20,3,28,31,8,22,1,32,0],[0,38,9,30,34,50,16,2,11,46,0],[0,4,42,40,19,41,13,18,47,0]],571.6217872305999,16.032644987106323
49481.57698241219,[[0,46,32,1,22,28,31,8,26,7,23,48,27,0],[0,10,39,30,34,9,49,38,5,12,0],[0,3,36,35,20,29,21,50,16,2,11,0],[0,40,17,37,33,45,15,44,42,19,41,13,0],[0,6,43,24,14,25,18,4,47,0]],600.7713334653033,15.823487281799316
50522.27675470837,[[0,17,37,15,45,33,39,30,9,49,38,5,0],[0,46,32,1,2,22,28,31,8,48,6,27,0],[0,10,34,50,21,35,36,3,20,29,16,11,0],[0,44,42,40,19,41,13,4,47,12,0],[0,26,43,7,23,24,14,25,18,0]],595.7158065728535,15.567320823669434
47953.521582990375,[[0,17,37,44,15,45,33,39,10,49,9,38,5,46,0],[0,1,22,29,21,30,34,50,16,2,11,32,0],[0,36,35,20,3,28,31,26,8,48,27,0],[0,43,7,23,24,13,25,14,6,0],[0,42,40,19,41,4,18,47,12,0]],593.47158086433,15.574992418289185
50089.332855122666,[[0,37,17,4,19,40,41,13,18,47,0],[0,8,31,28,3,36,35,20,2,32,0],[0,42,44,15,45,33,49,9,16,38,11,0],[0,26,43,24,25,14,6,23,7,48,27,0],[0,1,22,29,21,10,39,30,34,50,5,12,46,0]],617.4670071381073,16.831557750701904
49822.05372303167,[[0,37,44,15,45,33,39,10,49,9,38,5,46,0],[0,29,21,30,34,50,16,2,11,32,27,0],[0,1,22,36,35,20,3,28,31,8,26,7,0],[0,24,43,23,48,6,14,25,18,0],[0,17,42,40,19,41,13,4,47,12,0]],581.48002103255,15.800318956375122
50406.83365908418,[[0,10,39,30,34,50,9,49,5,38,11,0],[0,40,17,37,33,45,15,44,42,19,41,13,4,0],[0,16,21,29,3,36,35,20,2,22,1,32,0],[0,6,23,43,7,26,31,28,8,48,27,0],[0,24,14,25,18,47,12,46,0]],606.7009911775905,15.796964883804321
49116.37893222269,[[0,37,15,44,42,40,19,41,13,4,12,0],[0,21,29,36,35,20,2,16,38,11,46,0],[0,32,1,22,28,31,8,7,23,48,6,27,0],[0,17,45,33,39,10,30,34,50,9,49,5,0],[0,3,26,43,24,14,25,18,47,0]],607.0473476700256,16.186617374420166
47497.38811135858,[[0,6,24,43,23,7,26,31,8,48,27,0],[0,37,38,16,29,21,50,34,30,9,49,5,0],[0,17,40,19,41,13,25,14,18,0],[0,10,39,33,45,15,44,42,4,47,12,46,0],[0,1,22,28,3,36,35,20,2,11,32,0]],574.4776854458478,15.75364375114441
48581.52192685366,[[0,1,22,3,36,35,20,2,16,11,32,0],[0,24,43,26,31,28,8,7,23,48,6,27,0],[0,17,40,19,41,13,25,14,18,0],[0,10,30,34,50,9,49,38,5,12,46,0],[0,29,21,39,33,45,15,37,44,42,4,47,0]],609.7644192739822,16.654632091522217
