A-n65-k9 FA KMEANS

energy,arcs,distance,time(ms)
49072.48240703351,[[0,47,34,31,26,6,64,46,0],[0,48,57,23,54,63,11,7,62,0],[0,18,19,24,52,10,8,25,21,0],[0,45,4,3,36,35,37,30,49,0],[0,61,42,38,2,41,16,50,60,0],[0,13,12,1,33,28,39,51,17,0],[0,14,9,22,15,27,43,0],[0,40,59,56,44,29,0],[0,5,32,58,20,53,55,0]],1256.7232295540093,13.251257181167603
50785.64794463107,[[0,39,57,48,7,54,63,11,28,62,0],[0,46,64,6,26,31,34,47,0],[0,40,58,20,32,5,17,51,0],[0,45,41,16,50,60,37,30,0],[0,42,18,44,56,53,29,0],[0,38,2,35,36,4,49,43,0],[0,3,14,9,22,27,15,0],[0,61,59,10,8,25,21,55,0],[0,19,52,24,13,12,1,33,23,0]],1454.380941619908,13.280911207199097
49275.052003880664,[[0,39,18,52,24,13,12,1,33,28,0],[0,48,57,23,54,63,11,7,62,0],[0,15,22,31,26,6,64,46,51,0],[0,45,41,16,50,60,37,30,0],[0,14,9,34,47,17,0],[0,5,59,44,56,53,0],[0,40,2,38,42,61,58,20,32,0],[0,4,35,36,3,27,43,49,0],[0,19,10,8,25,21,55,29,0]],1318.4084170429335,14.004254579544067
50422.202751023695,[[0,48,57,23,54,63,11,7,62,0],[0,13,52,10,8,25,21,55,0],[0,45,38,41,16,60,37,30,0],[0,2,50,35,36,3,4,49,0],[0,39,29,18,19,24,12,1,33,28,0],[0,47,34,31,26,6,64,46,0],[0,14,9,22,15,27,43,0],[0,42,61,32,59,56,44,53,0],[0,40,58,20,5,17,51,0]],1372.3100378892802,14.088031768798828
50363.703510242136,[[0,0,46,64,6,26,31,34,47,0],[0,2,38,42,61,58,20,32,29,0],[0,41,16,50,60,37,30,0],[0,40,10,59,44,53,0],[0,48,18,24,13,12,1,33,28,0],[0,39,23,54,63,11,7,62,0],[0,45,14,9,22,15,27,43,0],[0,5,35,36,3,4,49,17,51,0],[0,57,19,52,8,56,25,21,55,0]],1384.1509443411142,14.023818016052246
50529.88802096766,[[0,46,64,6,26,31,34,47,0],[0,14,9,22,15,27,43,0],[0,48,57,23,54,63,11,7,62,0],[0,40,59,19,13,12,1,33,28,0],[0,32,41,2,16,50,60,5,0],[0,10,8,52,24,25,55,0],[0,45,4,3,36,35,37,30,49,0],[0,38,20,21,18,29,39,51,17,0],[0,42,61,58,44,56,53,0]],1397.5860764896142,13.864888429641724
50061.247616370514,[[0,47,34,31,26,6,64,46,0],[0,4,30,37,35,36,3,27,0],[0,48,57,23,54,11,63,7,62,0],[0,45,14,9,22,15,43,49,0],[0,32,58,40,59,44,56,0],[0,24,52,10,8,25,18,29,0],[0,19,13,12,1,33,28,39,51,17,0],[0,38,2,41,16,50,60,5,0],[0,42,61,20,53,21,55,0]],1315.5537097832917,13.346415042877197
50088.65688965459,[[0,0,46,64,6,26,31,34,47,0],[0,18,24,52,10,8,44,0],[0,19,32,42,61,58,20,53,25,0],[0,4,38,2,41,16,50,60,0],[0,11,57,12,1,33,23,28,62,0],[0,45,14,9,22,15,27,43,0],[0,40,59,56,21,55,29,0],[0,5,3,36,35,37,30,49,0],[0,13,48,54,63,7,39,51,17,0]],1397.6748769924934,13.506638288497925
47857.46328826483,[[0,46,64,6,26,31,34,47,0],[0,24,52,10,8,25,55,0],[0,38,2,41,16,50,60,5,0],[0,45,14,9,22,15,27,43,0],[0,13,12,1,33,23,28,62,0],[0,57,48,54,11,63,7,39,51,17,0],[0,19,32,40,59,44,56,18,0],[0,4,3,36,35,37,30,49,0],[0,42,61,58,20,53,21,29,0]],1313.1011870603013,13.604300260543823
50061.59887638242,[[0,19,56,44,25,21,55,0],[0,57,48,7,54,11,63,23,28,0],[0,10,8,24,13,12,1,33,0],[0,45,14,9,22,15,27,43,0],[0,53,18,29,62,39,51,17,0],[0,61,42,38,2,16,50,37,30,0],[0,41,60,35,36,3,4,49,0],[0,52,59,40,58,20,32,5,0],[0,47,34,31,26,6,64,46,0]],1343.5352737517112,13.882134675979614
