A-n65-k9 FA KMEDOIDS

energy,arcs,distance,time(ms)
51191.94813900178,[[0,14,39,57,23,54,63,11,7,0],[0,46,64,6,26,31,34,47,0],[0,48,24,13,12,1,33,28,62,0],[0,61,2,16,50,35,36,3,4,0],[0,45,42,38,41,60,37,30,5,0],[0,40,58,20,53,25,0],[0,9,22,15,27,43,49,0],[0,52,19,18,21,55,29,51,17,0],[0,32,10,8,59,44,56,0]],1467.52966938334,28.552191972732544
48471.83431741046,[[0,45,41,60,30,37,4,49,0],[0,48,57,23,54,11,63,7,62,0],[0,18,52,24,13,12,1,33,28,0],[0,19,10,8,59,44,53,0],[0,14,22,9,6,64,46,51,0],[0,16,2,38,42,61,58,20,32,0],[0,40,56,25,21,55,29,0],[0,50,35,36,3,27,15,43,0],[0,5,39,26,31,34,47,17,0]],1329.916556277566,27.607086181640625
49139.13397521224,[[0,32,61,58,20,53,25,21,0],[0,40,56,8,52,24,19,18,0],[0,5,10,59,44,55,29,0],[0,42,38,41,16,60,37,30,0],[0,57,48,54,11,63,7,39,51,17,0],[0,46,64,6,26,31,34,47,0],[0,2,50,35,36,3,4,49,0],[0,45,14,9,22,15,27,43,0],[0,13,12,1,33,23,28,62,0]],1347.5393323734247,27.559667825698853
50437.221928719984,[[0,0,46,64,6,26,31,34,47,0],[0,48,12,57,23,54,11,63,7,0],[0,38,2,41,16,50,60,5,0],[0,13,19,59,44,56,25,21,0],[0,52,18,55,29,62,39,51,17,0],[0,32,10,8,24,1,33,28,0],[0,14,9,22,15,27,43,0],[0,45,4,3,36,35,37,30,49,0],[0,42,61,40,58,20,53,0]],1412.182555090291,26.673810720443726
49213.67036158089,[[0,46,64,6,26,31,34,47,0],[0,13,12,1,33,28,39,51,17,0],[0,48,57,23,54,11,63,7,62,0],[0,5,59,56,44,53,0],[0,40,58,20,32,55,29,0],[0,18,19,24,52,10,8,25,21,0],[0,45,2,41,60,37,30,0],[0,14,9,22,15,27,43,0],[0,61,42,38,16,50,35,36,3,4,49,0]],1279.409321386143,27.216094970703125
48753.99860312412,[[0,38,13,12,1,33,23,28,0],[0,42,41,2,16,50,60,49,0],[0,45,4,3,36,35,37,30,5,0],[0,61,58,20,53,25,21,0],[0,40,10,8,52,24,19,18,62,0],[0,14,9,22,15,27,43,0],[0,57,48,54,63,11,7,39,51,17,0],[0,47,34,31,26,6,64,46,0],[0,32,59,44,56,55,29,0]],1377.7751694538622,26.98524785041809
51002.92566602294,[[0,35,2,16,50,37,30,4,0],[0,32,58,20,61,42,38,41,60,0],[0,10,8,59,56,44,0],[0,48,57,19,52,24,13,12,33,28,62,0],[0,45,36,3,14,27,15,43,0],[0,5,49,22,9,47,17,51,0],[0,1,23,54,11,63,7,0],[0,18,39,34,31,26,6,64,46,0],[0,40,53,25,21,55,29,0]],1429.7010803683024,27.63963747024536
49887.98617605305,[[0,18,19,52,24,13,12,1,33,28,0],[0,45,35,16,50,60,30,37,4,0],[0,26,39,51,46,64,6,47,17,0],[0,41,2,38,42,58,20,32,0],[0,36,3,27,15,43,49,0],[0,5,14,22,9,31,34,0],[0,61,10,8,59,44,53,0],[0,48,57,23,54,11,63,7,62,0],[0,40,56,25,21,55,29,0]],1393.4148831939606,28.413918495178223
50382.31685712813,[[0,24,13,12,1,33,29,55,0],[0,57,48,7,54,63,11,23,28,0],[0,46,64,6,26,31,34,47,0],[0,45,4,3,36,35,37,30,49,0],[0,61,42,38,2,41,16,50,60,0],[0,52,25,21,18,62,39,51,17,0],[0,19,10,8,59,44,53,0],[0,14,9,22,15,27,43,0],[0,56,40,58,20,32,5,0]],1317.4636754157912,26.9745192527771
50122.48182007868,[[0,32,10,8,59,44,56,0],[0,38,61,40,58,20,53,0],[0,47,34,31,26,6,64,46,0],[0,48,57,12,13,18,25,21,55,29,0],[0,52,23,54,63,11,7,62,0],[0,2,50,35,36,3,4,49,0],[0,19,24,1,33,28,39,51,17,0],[0,45,14,9,22,15,27,43,0],[0,42,41,16,60,37,30,5,0]],1485.8111949589488,28.42176103591919
